agn%,U,Z,NH,N,R,redshift,S3_18.67m,S4_10.51m,O3_5007A,H1_6563A,NE3_15.55m,S2_6720A,N2_6584A,H1_4861A,NE2_12.81m,AR3_9.000m,AR2_6.980m,S2_1.033m,AR3_21.83m,CL4_20.40m,FE3_22.92m,NA3_7.320m,CL4_11.70m,K3_4.620m,ZN4_3.623m,K4_5.980m,FE4_2.836m,F2_29.32m,FE4_2.774m,FE4_2.716m,K4_15.39m,FE4_2.865m,TI3_1.206m,FE4_2.714m,TI3_1.180m,CA4_3.210m,FE4_2.806m,CR5_3.750m,FE3_7.789m,FE3_10.20m,FE3_8.608m,TI3_4.448m,FE3_8.208m,TI3_4.693m,TI3_1.241m
40.0,0.001512,1.0,21.0,300.0,21.391001,0.0,5.8183,2.4076,3.6968,3.4947,3.2433,3.4096,1.6283,1,0.82888,0.4007,0.27909,0.1972,0.029211,0.0041809,0.010758,0.0075539,0.0034356,0.0022038,0.0015331,0.00019932,0.000097803,0.00011015,0.000022285,0.000020726,0.000016346,0.000015031,0.000015487,0.000010481,8.48E-06,8.68E-06,8.97E-06,5.34E-06,4.11E-06,9.52E-07,4.80E-07,3.92E-07,3.32E-07,1.78E-07,6.38E-08
40.0,0.002396,1.0,21.0,300.0,21.291,0.0,5.3781,4.1635,4.9075,3.4807,3.3067,2.8093,1.4265,1,0.56401,0.3755,0.20039,0.17088,0.027506,0.0069949,0.0082018,0.0075264,0.0057616,0.0021215,0.0015631,0.00036129,0.00015723,0.000078864,0.000035868,0.000033357,0.000029751,0.000024187,0.000013498,0.00001687,0.000007395,0.00001232,0.000014436,0.000010832,3.65E-06,8.51E-07,4.29E-07,3.48E-07,2.97E-07,1.58E-07,5.56E-08
40.0,0.003798,1.0,21.0,300.0,21.191,0.0,4.7199,6.4295,6.412,3.4599,3.3241,2.1461,1.2497,1,0.35751,0.3349,0.13291,0.14127,0.024697,0.010547,0.0061039,0.0073553,0.0087112,0.0019503,0.0015629,0.00059544,0.00024459,0.000053093,0.000055867,0.000051955,0.000049277,0.000037661,0.000011029,0.000026275,6.04E-06,0.000016669,0.000022477,0.000019819,3.17E-06,7.43E-07,3.74E-07,2.90E-07,2.60E-07,1.32E-07,4.54E-08
40.0,0.006019,1.0,21.0,300.0,21.091,0.0,3.8941,8.7778,8.3459,3.4257,3.2885,1.5283,1.0478,1,0.20428,0.28293,0.077368,0.11,0.02105,0.014315,0.0045338,0.0070466,0.011859,0.0016976,0.0015205,0.00088099,0.00037084,0.000032246,0.000084815,0.000078874,0.000073329,0.000057154,8.33E-06,0.000039889,0.000004564,0.000021181,0.00003411,0.000033098,2.72E-06,6.40E-07,3.23E-07,2.22E-07,2.24E-07,1.01E-07,3.43E-08
40.0,0.009539,1.0,21.0,300.0,20.991001,0.0,2.9698,10.461,10.793,3.3683,3.1725,1.0183,0.78457,1,0.092842,0.22554,0.032547,0.080747,0.016984,0.017441,0.0033971,0.0065533,0.014494,0.0013781,0.0014191,0.0011527,0.0005397,0.000015438,0.0001236,0.00011494,0.000096531,0.000083249,5.55E-06,0.000058129,3.04E-06,0.000024883,0.000049685,0.000050097,0.000002313,5.48E-07,2.76E-07,1.50E-07,1.92E-07,6.79E-08,2.28E-08
60.0,0.001212,1.0,21.0,300.0,21.491001,0.0,6.2827,2.1209,4.1385,3.4658,3.4531,4.0542,1.9538,1,0.98855,0.42766,0.33966,0.2412,0.031274,0.0036752,0.012006,0.0082197,0.0030271,0.0024182,0.0016209,0.00017049,0.00011887,0.00013091,0.000027111,0.000025216,0.000014039,0.000018281,0.000017814,0.000012752,9.76E-06,8.62E-06,0.000010912,5.27E-06,5.08E-06,1.18E-06,5.96E-07,4.54E-07,4.12E-07,2.06E-07,7.33E-08
60.0,0.001921,1.0,21.0,300.0,21.391001,0.0,5.8243,3.8114,5.5318,3.4535,3.5051,3.3854,1.6889,1,0.68008,0.40524,0.24751,0.20897,0.029787,0.0063909,0.0093247,0.0081341,0.0052756,0.0023238,0.0016371,0.00032119,0.00019206,0.000094791,0.00004385,0.000040782,0.000026547,0.000029562,0.00001578,0.000020624,8.65E-06,0.000012377,0.000017644,0.000011121,4.52E-06,1.06E-06,5.32E-07,4.09E-07,3.69E-07,1.86E-07,6.50E-08
60.0,0.003044,1.0,21.0,300.0,21.291,0.0,5.1441,6.0833,7.1809,3.438,3.5042,2.6158,1.4645,1,0.43764,0.36569,0.16786,0.17334,0.027073,0.0099486,0.0070124,0.0078803,0.0082325,0.0021332,0.001626,0.00054833,0.00029494,0.000064982,0.000067415,0.000062694,0.000045526,0.000045435,0.0000131,0.000031707,7.18E-06,0.000016912,0.000027117,0.000020753,3.89E-06,9.14E-07,4.61E-07,3.45E-07,3.20E-07,1.57E-07,5.39E-08
60.0,0.004825,1.0,21.0,300.0,21.191,0.0,4.2784,8.5362,9.2105,3.4129,3.448,1.8729,1.232,1,0.25726,0.31244,0.10203,0.13489,0.023365,0.013859,0.0052247,0.0074842,0.011499,0.0018565,0.0015749,0.00083637,0.00043764,0.000040779,0.00010015,0.000093137,0.000069803,0.000067475,0.000010071,0.000047102,5.52E-06,0.000021681,0.00004027,0.000034912,3.30E-06,7.77E-07,3.92E-07,2.69E-07,2.72E-07,1.22E-07,4.15E-08
60.0,0.007647,1.0,21.0,300.0,21.091,0.0,3.296,10.43,11.689,3.3693,3.3153,1.2542,0.95373,1,0.1264,0.2514,0.048999,0.098828,0.019017,0.017266,0.0039034,0.0069201,0.014365,0.0015096,0.0014667,0.0011243,0.00062181,0.000021293,0.00014246,0.00013249,0.000094356,0.000095942,6.94E-06,0.000067,0.000003805,0.000025733,0.00005726,0.000052997,2.75E-06,6.52E-07,3.29E-07,1.88E-07,2.29E-07,8.51E-08,2.86E-08
80.0,0.001451,1.0,21.0,300.0,21.491001,0.0,6.2876,2.9489,5.3643,3.441,3.6221,3.9879,1.952,1,0.85931,0.43253,0.30973,0.2451,0.031795,0.0049926,0.010982,0.0085824,0.0041233,0.0024927,0.0016832,0.00023925,0.00018328,0.00011726,0.000041853,0.000038925,0.000019791,0.000028213,0.00001799,0.000019685,9.86E-06,0.000010928,0.000016839,8.72E-06,5.33E-06,1.25E-06,6.28E-07,4.64E-07,4.35E-07,2.11E-07,7.41E-08
80.0,0.0023,1.0,21.0,300.0,21.391001,0.0,5.6745,5.0178,7.0158,3.4288,3.6299,3.198,1.6783,1,0.57099,0.40013,0.21817,0.20761,0.029613,0.0082557,0.0083933,0.0083412,0.0068336,0.002326,0.0016743,0.00043307,0.00028465,0.00008281,0.000065067,0.000060512,0.000035967,0.000043851,0.000015433,0.000030603,8.46E-06,0.000015328,0.000026172,0.000017261,4.62E-06,1.09E-06,5.47E-07,4.05E-07,3.80E-07,1.84E-07,6.35E-08
80.0,0.003645,1.0,21.0,300.0,21.291,0.0,4.8462,7.5034,8.9734,3.4119,3.5805,2.3579,1.4246,1,0.35168,0.35101,0.14085,0.16532,0.026228,0.012166,0.0062801,0.0079371,0.010094,0.0020647,0.0016323,0.00070207,0.00042296,0.000054551,0.000096786,0.000090009,0.000058584,0.000065208,0.00001231,0.00004552,6.75E-06,0.00002025,0.000038918,0.000030319,3.91E-06,9.21E-07,4.64E-07,3.28E-07,3.23E-07,1.49E-07,5.07E-08
80.0,0.005777,1.0,21.0,300.0,21.191,0.0,3.8638,9.7895,11.322,3.3822,3.4644,1.6211,1.1509,1,0.19178,0.29031,0.078088,0.12359,0.021928,0.01599,0.0046802,0.0073846,0.013301,0.0017235,0.0015406,0.0010049,0.00060278,0.000031783,0.00013808,0.00012842,0.000084286,0.000092999,8.98E-06,0.000064941,4.92E-06,0.00002484,0.000055503,0.000047856,3.25E-06,7.69E-07,3.88E-07,2.42E-07,2.70E-07,1.10E-07,3.70E-08
80.0,0.009155,1.0,21.0,300.0,21.091,0.0,2.8067,11.038,14.044,3.3281,3.2474,1.0393,0.82415,1,0.07741,0.22442,0.028561,0.086914,0.017134,0.018685,0.0034917,0.0066277,0.015583,0.001329,0.0013813,0.0012524,0.00080978,0.000013546,0.0001857,0.00017271,0.00010559,0.00012501,5.62E-06,0.000087336,3.08E-06,0.000028113,0.000074611,0.000067536,2.67E-06,6.34E-07,3.19E-07,1.53E-07,2.22E-07,6.93E-08,2.31E-08
100.0,0.001081,1.0,21.0,300.0,21.591,0.0,6.6987,2.0905,4.8656,3.4341,3.6927,4.5558,2.2439,1,1.0788,0.45311,0.38016,0.28077,0.033272,0.0035862,0.012835,0.0089179,0.0029614,0.0026218,0.0017178,0.00016375,0.00015701,0.0001437,0.000035851,0.000033343,0.000013545,0.000024166,0.000019913,0.000016862,0.000010909,9.10E-06,0.000014424,5.97E-06,6.11E-06,1.43E-06,7.18E-07,5.11E-07,4.98E-07,2.33E-07,8.20E-08
100.0,0.001713,1.0,21.0,300.0,21.491001,0.0,6.1836,3.8229,6.5002,3.4232,3.7241,3.8077,1.9106,1,0.74116,0.43058,0.27778,0.24185,0.031809,0.0063629,0.010062,0.0087486,0.0052654,0.0024995,0.001713,0.00031537,0.00025186,0.00010418,0.000057564,0.000053535,0.000026179,0.000038795,0.000017711,0.000027074,0.000009703,0.00001316,0.000023155,0.000012854,5.38E-06,1.26E-06,6.36E-07,4.62E-07,4.41E-07,2.10E-07,7.29E-08
100.0,0.002716,1.0,21.0,300.0,21.391001,0.0,5.4414,6.1586,8.3677,3.4112,3.6936,2.9314,1.6249,1,0.47667,0.38957,0.189,0.19893,0.029035,0.01003,0.0076136,0.0083823,0.0083186,0.0022741,0.0016832,0.00054733,0.00037951,0.000071617,0.000086826,0.000080747,0.000045625,0.000058501,0.000014714,0.000040836,8.06E-06,0.000018004,0.000034915,0.000024026,4.58E-06,1.08E-06,5.44E-07,3.90E-07,3.78E-07,1.77E-07,6.06E-08
100.0,0.004304,1.0,21.0,300.0,21.291,0.0,4.5039,8.6813,10.558,3.3918,3.6001,2.0856,1.3459,1,0.28077,0.33277,0.11571,0.15306,0.025054,0.014066,0.0056764,0.0078595,0.011694,0.0019582,0.0016123,0.00084312,0.00054687,0.00004519,0.00012524,0.00011647,0.000070619,0.000084358,0.000011297,0.000058902,6.19E-06,0.000022997,0.000050346,0.000039991,3.81E-06,0.000000901,4.54E-07,3.03E-07,3.16E-07,1.38E-07,4.65E-08
100.0,0.006821,1.0,21.0,300.0,21.191,0.0,3.4457,10.616,13.104,3.3559,3.4254,1.3872,1.0412,1,0.13947,0.26687,0.056947,0.1108,0.020304,0.01754,0.0042258,0.0071717,0.014617,0.0015722,0.0014829,0.0011354,0.00074902,0.000023952,0.00017171,0.0001597,0.000095575,0.00011562,7.79E-06,0.000080756,4.27E-06,0.000027186,0.000069001,0.000059566,3.13E-06,7.42E-07,3.74E-07,2.11E-07,2.60E-07,9.58E-08,3.21E-08
