Z,U,R,n,NH,agn_percent,redshift,Lbol,L12um,W1L,W2L,W3L,W4L,w12_wrong,w23_wrong
1,-4.94577009,22.041,1000,23.5,0,0,1,2.09E-04,-5.146955221,-7.527099943,-11.69788128,-13.76582036,2.401591117,4.148230487
0.1,-4.938547521,22.141001,1000,19,5,0,1,0.00257582,-10.66237116,-11.1277617,-13.98743247,-16.25168378,0.464676738,2.790425426
0.1,-4.938547521,22.141001,1000,19.5,5,0,1,0.002665098,-10.66238502,-11.12853655,-14.0260698,-16.25520246,0.465451131,2.828943855
0.1,-4.938547521,22.141001,1000,20,5,0,1,0.002844341,-10.66056147,-11.12716454,-14.05941951,-16.26272084,0.465923514,2.866400337
0.1,-4.938547521,22.141001,1000,20.5,5,0,1,0.00338783,-10.66059841,-11.12711931,-14.14060129,-16.28721107,0.465830025,2.956281578
0.1,-4.938547521,22.141001,1000,21,5,0,1,0.005032836,-10.66613891,-11.13039714,-14.35735619,-16.358941,0.463411385,3.189819946
0.1,-4.938547521,22.141001,1000,21.5,5,0,1,0.009257795,-10.68211936,-11.13853319,-14.77269391,-16.51951561,0.454985972,3.625714374
0.1,-4.938547521,22.141001,1000,22,5,0,1,0.014995749,-10.69708038,-11.14500075,-15.16143496,-16.70532094,0.445684645,4.026214611
0.1,-4.938547521,22.141001,1000,22.5,5,0,1,0.016898574,-10.66749475,-11.12763979,-15.26084422,-16.7628341,0.457901218,4.146016461
0.1,-4.938547521,22.141001,1000,23,5,0,1,0.015814604,-10.54110951,-11.05327289,-15.19035454,-16.71076798,0.510845308,4.147154284
0.1,-4.938547521,22.141001,1000,23.5,5,0,1,0.011667767,-10.13749416,-10.81099356,-14.89560533,-16.49736206,0.674990703,4.08609655
0.1,-4.904830649,22.141001,1000,19,10,0,1,0.00260048,-10.69288738,-11.18927487,-14.02495618,-16.21176367,0.496107284,2.768855357
0.1,-4.904830649,22.141001,1000,19.5,10,0,1,0.00271113,-10.69443135,-11.19185721,-14.07951371,-16.21707119,0.497177338,2.821075936
0.1,-4.904830649,22.141001,1000,20,10,0,1,0.002918817,-10.69375684,-11.19222621,-14.13647982,-16.2278975,0.498251739,2.879557868
0.1,-4.904830649,22.141001,1000,20.5,10,0,1,0.003462691,-10.69434,-11.19360738,-14.21651042,-16.25676373,0.499084387,2.965448445
0.1,-4.904830649,22.141001,1000,21,10,0,1,0.005079413,-10.70066062,-11.19929812,-14.41737816,-16.33392349,0.498400702,3.17872693
0.1,-4.904830649,22.141001,1000,21.5,10,0,1,0.009223469,-10.71715282,-11.2101175,-14.80798935,-16.49995282,0.492321688,3.585820024
0.1,-4.904830649,22.141001,1000,22,10,0,1,0.01501709,-10.73286257,-11.21885912,-15.18974398,-16.69327703,0.484677445,3.97731541
0.1,-4.904830649,22.141001,1000,22.5,10,0,1,0.017142081,-10.70498206,-11.20309501,-15.29834883,-16.75865033,0.496798889,4.105064175
0.1,-4.904830649,22.141001,1000,23,10,0,1,0.016062618,-10.57935803,-11.1291569,-15.2295422,-16.70889888,0.549401928,4.107469087
0.1,-4.904830649,22.141001,1000,23.5,10,0,1,0.011865568,-10.17694734,-10.88712373,-14.93643017,-16.49744951,0.712558691,4.047826435
1,-4.896880746,22.141001,1000,24,5,0,1,9.76E-06,0.622896343,-1.549896809,-7.286353781,-9.014990879,2.176829423,5.735684769
1,-4.896880746,22.041,1000,19,5,0,1,0.002970721,-10.66840501,-10.97255279,-14.46104686,-15.96484027,0.304252849,3.412093555
1,-4.896880746,22.041,1000,19.5,5,0,1,0.003640456,-10.66892008,-10.97337252,-14.56137288,-16.02333556,0.304485366,3.517321254
1,-4.896880746,22.041,1000,20,5,0,1,0.005466898,-10.67311582,-10.97511596,-14.72748963,-16.15102765,0.301743342,3.698913904
1,-4.896880746,22.041,1000,20.5,5,0,1,0.010221552,-10.68883564,-10.98286483,-15.07074172,-16.4109424,0.292939097,4.062675591
1,-4.896880746,22.041,1000,21,5,0,1,0.016307514,-10.7040376,-10.99036063,-15.39377685,-16.66831765,0.284185887,4.397686554
1,-4.896880746,22.041,1000,21.5,5,0,1,0.018038129,-10.67553842,-10.97440188,-15.46690882,-16.74463894,0.296632192,4.490107053
1,-4.896880746,22.041,1000,22,5,0,1,0.016658166,-10.55231181,-10.9015437,-15.38799008,-16.6958558,0.347777076,4.481696198
1,-4.896880746,22.041,1000,22.5,5,0,1,0.012319591,-10.1586188,-10.66639924,-15.10553949,-16.4923755,0.508806217,4.427109316
1,-4.896880746,22.041,1000,23,5,0,1,0.004736532,-8.929483022,-9.925371838,-14.27016406,-15.84495354,1.003900618,4.3174944
1,-4.896880746,22.041,1000,23.5,5,0,1,2.37E-04,-5.188624645,-7.625338225,-11.9535804,-13.84673566,2.458757632,4.291063352
1,-4.896880746,22.291,300,19,5,0,1,0.002480054,-10.47857933,-10.78401236,-14.26267522,-15.75570211,0.305492532,3.402304653
1,-4.896880746,22.291,300,19.5,5,0,1,0.003009929,-10.47954994,-10.78527774,-14.34287094,-15.79872323,0.305731672,3.487550131
1,-4.896880746,22.291,300,20,5,0,1,0.004538751,-10.48456072,-10.78780903,-14.51276052,-15.89379781,0.302970625,3.672576623
1,-4.896880746,22.291,300,20.5,5,0,1,0.008417241,-10.50036507,-10.79606245,-14.85418533,-16.10046926,0.294619643,4.033648682
1,-4.896880746,22.291,300,21,5,0,1,0.01319836,-10.51394462,-10.8034008,-15.16559556,-16.32058578,0.287439941,4.356293565
1,-4.896880746,22.291,300,21.5,5,0,1,0.014700706,-10.48522928,-10.7875448,-15.24336952,-16.39646507,0.30022325,4.453486902
1,-4.896880746,22.291,300,22,5,0,1,0.013656112,-10.36155713,-10.71443211,-15.16875079,-16.3507411,0.351565618,4.449726904
1,-4.896880746,22.291,300,22.5,5,0,1,0.01010599,-9.966070378,-10.47742832,-14.8852516,-16.14500142,0.512526197,4.395933231
1,-4.896880746,22.291,300,23,5,0,1,0.003889009,-8.732340849,-9.732112896,-14.0489606,-15.4891301,1.007978468,4.289528357
1,-4.896880746,22.291,300,23.5,5,0,1,2.29E-04,-5.004332148,-7.425637391,-11.76622472,-13.49754452,2.443166811,4.305625515
0.1,-4.851089007,22.141001,1000,19,20,0,1,0.00263283,-10.74731165,-11.29738394,-14.08031313,-16.12555384,0.550613634,2.719969733
0.1,-4.851089007,22.141001,1000,19.5,20,0,1,0.00277519,-10.75169602,-11.30336092,-14.15592267,-16.13424126,0.552259486,2.788863233
0.1,-4.851089007,22.141001,1000,20,20,0,1,0.003042132,-10.7536337,-11.30674161,-14.25244278,-16.14998721,0.553731357,2.882939292
0.1,-4.851089007,22.141001,1000,20.5,20,0,1,0.003630283,-10.75582787,-11.31109525,-14.36655561,-16.18920679,0.555976569,2.99707946
0.1,-4.851089007,22.141001,1000,21,20,0,1,0.005212837,-10.7637432,-11.32043538,-14.5483235,-16.28017143,0.557479889,3.18382643
0.1,-4.851089007,22.141001,1000,21.5,20,0,1,0.009213188,-10.78173317,-11.33596517,-14.89188565,-16.4576935,0.554854092,3.536718834
0.1,-4.851089007,22.141001,1000,22,20,0,1,0.015080392,-10.79919456,-11.34869597,-15.25485425,-16.66501142,0.549667192,3.905931517
0.1,-4.851089007,22.141001,1000,22.5,20,0,1,0.017529851,-10.77414566,-11.33592843,-15.37457747,-16.74335963,0.561996208,4.042395425
0.1,-4.851089007,22.141001,1000,23,20,0,1,0.01647003,-10.65009924,-11.26308976,-15.30842848,-16.69786107,0.614117853,4.046403479
0.1,-4.851089007,22.141001,1000,23.5,20,0,1,0.012184997,-10.24995451,-11.02184914,-15.01868934,-16.49027264,0.775756435,3.989403079
1,-4.841637508,22.141001,1000,24,10,0,1,1.03E-05,0.54686192,-1.665056037,-7.394146624,-9.238240924,2.214471821,5.722368295
1,-4.841637508,22.041,1000,19,10,0,1,0.003210366,-10.69910435,-11.05385581,-14.69141391,-15.96008776,0.355001177,3.554034352
1,-4.841637508,22.041,1000,19.5,10,0,1,0.003978742,-10.70046168,-11.05653341,-14.8266465,-16.02883631,0.356257126,3.690464872
1,-4.841637508,22.041,1000,20,10,0,1,0.005746867,-10.70437528,-11.05925659,-14.95603951,-16.1610045,0.354869345,3.831175225
1,-4.841637508,22.041,1000,20.5,10,0,1,0.010364657,-10.71925535,-11.06799658,-15.23416498,-16.42203158,0.348071804,4.126627246
1,-4.841637508,22.041,1000,21,10,0,1,0.016797545,-10.73580932,-11.07767564,-15.53173294,-16.69172404,0.340259407,4.435835958
1,-4.841637508,22.041,1000,21.5,10,0,1,0.019252802,-10.7111518,-11.06531216,-15.62289117,-16.78978734,0.352438936,4.544334077
1,-4.841637508,22.041,1000,22,10,0,1,0.017914198,-10.58945486,-10.99388548,-15.55057474,-16.75203835,0.403475591,4.541232658
1,-4.841637508,22.041,1000,22.5,10,0,1,0.013262885,-10.19674891,-10.7592802,-15.2719448,-16.54949677,0.564047996,4.489811568
1,-4.841637508,22.041,1000,23,10,0,1,0.00510171,-8.970035927,-10.01957078,-14.44524962,-15.90477552,1.058036304,4.387386198
1,-4.841637508,22.041,1000,23.5,10,0,1,2.56E-04,-5.234841092,-7.721284963,-12.12943993,-13.91530152,2.508840642,4.360387172
1,-4.841637508,22.291,300,19,10,0,1,0.00268662,-10.51077445,-10.86698375,-14.49772509,-15.74922778,0.356398374,3.547251996
1,-4.841637508,22.291,300,19.5,10,0,1,0.003287846,-10.5123992,-10.86989541,-14.60870297,-15.80377457,0.357644071,3.659590997
1,-4.841637508,22.291,300,20,10,0,1,0.004755425,-10.51730529,-10.87353231,-14.73855814,-15.90165579,0.356190197,3.800479607
1,-4.841637508,22.291,300,20.5,10,0,1,0.008512239,-10.53248239,-10.88306867,-15.01521077,-16.10944647,0.349919128,4.093563778
1,-4.841637508,22.291,300,21,10,0,1,0.013555597,-10.54751337,-10.89279976,-15.30172199,-16.34410978,0.34381295,4.3907175
1,-4.841637508,22.291,300,21.5,10,0,1,0.015571889,-10.52226617,-10.88055398,-15.39346626,-16.44214939,0.356747442,4.499801527
1,-4.841637508,22.291,300,22,10,0,1,0.014565689,-10.39998083,-10.80886168,-15.32457313,-16.41079881,0.408116142,4.500498384
1,-4.841637508,22.291,300,22.5,10,0,1,0.010777636,-10.00527531,-10.57215915,-15.04376674,-16.2041624,0.568596816,4.448962748
1,-4.841637508,22.291,300,23,10,0,1,0.004149241,-8.773582418,-9.827454573,-14.21435003,-15.55188103,1.062583274,4.34874921
1,-4.841637508,22.291,300,23.5,10,0,1,2.43E-04,-5.050499293,-7.5225562,-11.92663451,-13.5700088,2.494303885,4.358712048
1,-4.820448209,22.141001,1000,19,40,0,1,0.004601798,-10.79825471,-11.37070352,-15.36583058,-15.87616712,0.574200519,3.892541135
1,-4.820448209,22.141001,1000,19.5,40,0,1,0.005871783,-10.80532971,-11.38117657,-15.57151411,-15.98943567,0.577521564,4.089780769
1,-4.820448209,22.141001,1000,20,40,0,1,0.007444461,-10.81082104,-11.38847965,-15.64434536,-16.13989994,0.579403623,4.16163827
1,-4.820448209,22.141001,1000,20.5,40,0,1,0.010815033,-10.82350979,-11.4015286,-15.76257276,-16.36766154,0.579699844,4.280398385
1,-4.820448209,22.141001,1000,21,40,0,1,0.016031562,-10.83895248,-11.41839285,-15.92315867,-16.63048352,0.580994012,4.44059317
1,-4.820448209,22.141001,1000,21.5,40,0,1,0.01906264,-10.82242091,-11.416865,-16.00242936,-16.78503399,0.596214767,4.528181912
